Rank;Company
1;JPMorganChase
4;Saudi Arabian Oil Company (Saudi Aramco)
13;ExxonMobil
44;AXA Group
46;TD Bank Group
49;LVMH Louis Vuitton Moet Hennessy
52;BBVA-Banco Bilbao Vizcaya
54;Volkswagen Group
59;Postal Savings Bank Of China (PSBC)
61;Intesa Sanpaolo Assicura
81;BMW Group
114;Generali Group
132;NAB - National Australia Bank
140;Westpac Banking Group
149;John Deere
220;Oil & Natural Gas
234;Dai-ichi Life Insurance
235;Volvo Group
240;First Abu Dhabi Bank
244;Discover Financial Services
278;RWE Group
295;SEB AB
310;Advanced Micro Devices (AMD)
326;Royal Ahold Delhaize N.V.
334;0.0030
349;Bank Rakyat Indonesia (BRI)
360;IntercontinentalExchange
379;ORLEN Spolka Akcyjna
406;First Citizens Bank (NC)
431;Fifth Third Bank
446;EnBW Energie Baden-Wurttemberg
496;Michelin Group
503;Abu Dhabi Commercial Bank
505;Huntington Bank
513;Poly Developments & Holdings Group
515;Glencore International
526;OMV Group
527;Muyuan Foodstuff
594;Grupa PZU
616;Turkish Airlines
646;CEZ Group
669;Saudi British Bank
685;VakifBank
700;Isbank
728;Bancolombia
741;Fortis (Canada)
778;Fidelity National Information (FIS)
786;Mitsui OSK Lines
804;Grupo Inbursa
816;Mashreq Bank
842;Mitsubishi UFJ Lease
853;Power Grid of India
856;Walgreens Boots Alliance
869;Chongqing Rural Bank
920;Grupo Galicia
931;Greenland Holdings Group
948;Wen's Foodstuff Group
979;Attijariwafa Bank
1040;Aldar Properties
1047;Shin Kong Financial
1101;All Nippon Airways
1109;Bâloise Group
1111;Modon Holding PSC
1116;Top Frontier Investment Holdings
1145;NARI Technology Development
1165;Adani Ports & Special Economic Zone
1168;BCI-Banco Credito
1187;ThyssenKrupp Group
1255;arGEN-X
1265;Borouge
1288;Mirae Asset Financial Group
1296;Charoen Pokphand Group
1313;Rede D'Oro Luiz
1344;Taishin Financial Holdings
1355;ICON (Ireland)
1432;Jiangsu Yanghe Brewery
1456;Vietnam Technological & Commercial Joint Stock Bank
1460;Commercial Bank of Qatar
1462;Phoenix Holdings
1469;Arab Bank
1479;Commercial Bank Dubai
1507;Brookfield Renewable Holdings
1523;Ansys
1531;Gerdau (Cosigua)
1555;Chang Hwa Bank
1559;Xiamen International Trade Group
1567;Titan (India)
1580;Old National Bank
1614;Lundbergs
1627;Metro Group
1630;Vietnam Prosperity Joint-sock Commercial Bank
1656;Companhia Energetica de Minas Gerais
1667;Zheshang Development Group
1683;Tingyi Holding
1685;Chandra Asri Petrochemical
1722;Latour Ab Investment
1730;BG Financial Group
1744;Coca-Cola Bottling Consolidated
1764;FIBI Holdings
1770;Saab Group
1796;Bank Muscat
1800;AVIC Capital
1812;Banque Centrale Populaire
1837;MBH Bank Plc.
1853;SKF Group
1870;Ag Anadolu Grubu Holding Anonim Sirketi
1878;Will Semiconductor
1886;AmBank Group
1912;PT Adaro Energy Indonesia
1929;International Distributions Services
1934;Arab Banking
1939;Prologis Property Mexico
1951;National Bank of Ras Al-Khaimah (P.S.C.)
1967;Liberty Media Corporation Series A Liberty Formula One
1986;Pt Adaro Andalan Indonesia
1989;Berry Global Group
1992;Hisense Kelon Electrical Holdings
